kpi_name,target_value,target_type,target_description
active_dealer_rate,0.90,percentage,90% of registered dealers should be active
new_dealer_yoy_growth,0.10,percentage,10% YoY growth in new dealers
total_active_users_growth,0.15,percentage,15% YoY growth in TAU
first_login_rate,0.75,percentage,75% of new accounts should login
active_users_per_dealer,3.00,count,At least 3 active users per dealer
dealer_stickiness,0.20,ratio,WAU/MAU > 20%
technician_stickiness,0.40,ratio,DAU/MAU > 40%
lead_rejection_rate,0.05,percentage,Less than 5% rejection
lead_approval_hours,24.00,hours,Approve within 24 hours
rewards_activation_hours,24.00,hours,Activate within 24 hours
